epoch,timestamp_utc,global_step,train_loss,train_charbonnier_loss,train_grad_loss,train_frc_loss,train_smooth_loss,train_log_noise_mean_loss,train_log_noise_tv_loss,train_gamma_nll_loss,train_enl_loss,lr,val_l1_loss,val_psnr,val_ssim,val_frc_score
30,2026-04-23T18:48:56.282082+00:00,67624,0.47048125310122874,0.07096691276769887,0.008602453715769613,0.14577720073512557,0.0017511683672302614,0.009657556924278676,0.011804102923093997,0.09527858754838484,0.12664326946760235,3.803281136113337e-05,0.07666805510253664,25.30477959040629,0.9574717890478209,0.6842204520223736
31,2026-04-23T19:26:53.685324+00:00,69878,0.47005724121710496,0.07091177076127742,0.008597639986774687,0.1454417310633636,0.0017509452175959552,0.009657939500345818,0.011803407201997441,0.09528244278348452,0.12661136448859217,3.294112950123569e-05,0.07666575227904275,25.301314791416363,0.9574522142338708,0.6838059226299092
32,2026-04-23T20:04:52.431468+00:00,72132,0.46989915989724357,0.07086747079545681,0.008600236380166677,0.14513240329116536,0.0017517374381127633,0.009659343471812168,0.011803732246175378,0.09528985995957105,0.12679437570890215,2.829579028674335e-05,0.07658957521558703,25.303782535538666,0.9574670047965774,0.6833926886599686
33,2026-04-23T20:42:50.981808+00:00,74385,0.46930156210278373,0.07079364210168917,0.0085855820768753,0.1448255476526739,0.0017492844905236636,0.00965937037317524,0.011798947840519242,0.09529244373466784,0.12659674328019652,2.412730845941037e-05,0.076596809519668,25.304173689622147,0.9574666697580864,0.6829865693375049
34,2026-04-23T21:20:48.746426+00:00,76640,0.4691357553851237,0.070775177122405,0.008590325754363876,0.14456502513587804,0.001750434202277968,0.009660084553729652,0.011800439404123345,0.09529520032886497,0.1266990684040583,2.0456292359707246e-05,0.07658302439394185,25.30148758897191,0.95744707224293,0.682608045064486
35,2026-04-23T21:58:48.309182+00:00,78893,0.46879071672731026,0.07073737545912587,0.008586049965467328,0.1443247538721728,0.0017498771729326566,0.009660054129182988,0.011799012484715913,0.09529767029464946,0.12663592291753395,1.731196903224677e-05,0.07659967673512605,25.299882656190455,0.9574252394976803,0.6822377193935817
36,2026-04-23T22:36:46.007953+00:00,81148,0.46857399106633774,0.0707031690975559,0.008584484264228132,0.14411789611110826,0.001749605667022635,0.00966115227065374,0.011797771325847558,0.09530065822036865,0.12665925329779543,1.4708252552248808e-05,0.07657166329294611,25.299792956232352,0.9574360072500934,0.6818930587222831
37,2026-04-23T23:14:45.363772+00:00,83402,0.4683404162866521,0.07068463182252377,0.008586230060718928,0.1439363683329556,0.0017501636942504454,0.00966111051356992,0.011798290100612075,0.09530258202835683,0.1266210391955567,1.2665092134968484e-05,0.07656241231379544,25.2981932301906,0.9574210177443041,0.6815677277366395
38,2026-04-23T23:52:43.229364+00:00,85657,0.4681799977218055,0.07065656523177485,0.008581275248436977,0.14378246237034542,0.001749360687592013,0.009661628845238463,0.011796551046037482,0.09530431801694067,0.12664783567712323,1.1193342643766163e-05,0.07655908362363338,25.296309267155003,0.9574211552934844,0.6812868240179308
39,2026-04-24T00:30:41.557019+00:00,87911,0.4680992030177367,0.07064652576113942,0.008582202112787572,0.14365741018975065,0.001749611956677318,0.009662132179804508,0.011797300737576729,0.09530622054558156,0.12669779917476817,1.0303424946423801e-05,0.07658918930906068,25.29248582936586,0.9573882671726578,0.6810333699714847
40,2026-04-24T01:08:39.845622+00:00,90164,0.46786053858434684,0.07062969748885015,0.008580043783358094,0.1435541345476179,0.0017492143147531875,0.009661618555507881,0.011796187042874398,0.09530576033962622,0.12658388186622074,1.0000075092396388e-05,0.07655969860406128,25.293065629354338,0.9573953125982303,0.680784272991023
